clean_name,original_name
whether_your_school_having_functional_incinerator_,Whether your school  having functional incinerator in girls toilets - For schools having Secondary and Higher Secondary Sections
library_facility,Library Facility
does_the_school_have_a_designated_library_room,Does the school have a designated Library room?
does_the_school_have_book_bank_facility,Does the School have book bank facility
if_yes_no_of_books_are_available,"If yes, No of books are available"
no_of_librarians,No of Librarians
no_of_computers_available_in_the_library_room,No of Computers Available in the Library Room
reading_corner_available,Reading Corner Available
power_backup_available,Power Backup Available 
furniture_available,Furniture Available
playground_available,Playground Available
separate_common_room_for_girls,Separate Common Room For Girls 
co_curricular_activity_room_arts_and_crafts_room,Co-Curricular Activity Room/Arts And Crafts Room 
integrated_science_laboratory_for_secondary_detail,Integrated Science Laboratory for Secondary Details 
no_of_room_available,No of Room Available
maths_lab_for_secondary_details,Maths Lab for Secondary Details 
no_of_room_available_1,No of Room Available 
physics_laboratory_for_higher_secondary,Physics Laboratory for Higher Secondary 
no_of_room_available_1_1,No of Room Available .1
chemistry_laboratory_for_higher_secondary,Chemistry Laboratory for Higher Secondary 
no_of_room_available_2,No of Room Available .2
biology_laboratory_for_higher_secondary,Biology Laboratory  for Higher Secondary
no_of_room_available_3,No of Room Available .3
library_room,Library Room
no_of_books_avaialble,No of Books avaialble
computer_room,Computer Room 
no_of_computer,No of computer 
tinkering_lab,Tinkering Lab
internet_facility_available_in_school,"Internet Facility available in school (1-Yes, 2-No)"
smart_classroom_available_in_school,"Smart classroom available in school (1-Yes, 2-No)"
no_of_smart_classroom,No of Smart classroom
ict_lab_available,ICT Lab Available
ictlab_functional,ICTLab Functional
total_number_of_desktops_laptops, Total Number of Desktops/Laptops 
total_number_of_functional_desktops,Total Number of functional desktops
total_number_of_functional_laptops,Total Number of functional Laptops
total_number_of_functional_tablets,Total Number of functional Tablets
total_number_of_functional_digital_boards,Total Number of functional digital boards
total_number_of_functional_projectors,Total Number of functional projectors
hostel_facilities_for_boys,Hostel Facilities for Boys
does_the_school_have_hostel_facilities_for_boys,Does the school have hostel facilities for Boys?
intake_capacity,Intake capacity
no_of_students_are_currently_residing_in_the_hoste,No of students are currently residing in the hostel
hostel_facilities_for_girls,Hostel Facilities for Girls
does_the_school_have_hostel_facilities_for_girls,Does the school have hostel facilities for Girls?
intake_capacity_1,Intake capacity.1
no_of_students_are_currently_residing_in_the_hoste_1,No of students are currently residing in the hostel.1
